notification_no,work_order_no,notification_date,order_created_date,completion_date,functional_location,equipment_tag,equipment_description,equipment_class,priority,status,craft,process_upset,failure_mode,failure_code,cause_code,outage_required,labor_hours,material_cost_usd,notification_short_text,notification_long_text
10450531,40870531,2023-07-14,2023-07-14,2023-07-16,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P4,TECO,ANLYZR,reflux_pump_degradation,passing,LEAK_BY,SEAT,N,8.2,5346.64,"FV-502 disch press low, passing","days called for FV-502 reflux flow control valve, seal weep seen during reflux pump degradation. Foud passing; seat leak by. History shows same complain last mnth. cleaned and put back online. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450532,40870532,2023-07-20,2023-07-20,2023-07-22,U400-DEETHANIZER-500,LV-501,reflux drum level valve,control_valve,P3,COMP,ROT,valve_stiction,not stroking,NO_TRAVEL,ACT,N,5.4,5437.01,LV-501 not ok after valve stiction,"night called for LV-501 reflux drum level vavle, vavle sticking seen during vavle stiction. Foud not stroking; actuator weak. cleaned and put back online. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450533,40870533,2023-07-22,2023-07-23,2023-07-26,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P3,COMP,MECH,valve_stiction,stiction,STICK,PACKING,N,16.8,161.02,PV-501 stiction after upset,"days called for PV-501 colmn press control valve, op jumps seen during valve stiction. Foud stiction; stem sticky and pos err. changed gasket and boxed up. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450534,40870534,2023-07-24,2023-07-24,2023-07-25,U400-DEETHANIZER-500,TT-503,reboiler outlet temperature tx,instrument,P2,TECO,OPS+INST,reboiler_duty_loss,impulse plugged,PLUG,PROCESS,N,8.7,834.16,"TT-503 impulse plugged again, prod upset","C shift called for TT-503 rebiler outlet temperature tx, c2 in btm seen during rebiler duty loss. Foud impulse plugged; tap/line dirty. Tag plate dirty, confirmd by line up with panel. opened strainer, cleaned black sludge. need watch next feed swing. notif made by ops, maint attended same shift."
10450535,40870535,2023-07-23,2023-07-23,2023-07-23,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P4,COMP,OPS+MECH,feed_temperature_ramp,plugged pass,PLUG,FOUL,N,14.7,8162.97,chk E-503 - plugged pass frm ops,"days called for E-503 feed bottoms exchanger, rb duty up seen during feed temperature ramp. Foud plugged pass; flow restricted. tightened fittings, leak test ok. unit stable now. notif made by ops, maint attended same shift."
10450536,40870536,2023-07-22,2023-07-22,2023-07-23,U400-DEETHANIZER-500,P-501A,reflux pump A,pump,P2,COMP,VALVE,reflux_pump_degradation,low disch press,HYD_LOSS,FOUL,N,12.7,4708.79,chk P-501A - low disch press frm ops,"C shift called for P-501A reflux pump A, disch press low seen during reflux pump degradation. Foud low disch press; strainer dirty or impeller wear. Could not get permit first time waiting area gas test. replaced positioner tubing and retuned small. readng close to dcs after job. notif made by ops, maint attended same shift."
10450537,40870537,2023-07-24,2023-07-25,2023-07-26,U400-DEETHANIZER-500,LT-502,column bottom level tx,instrument,P4,COMP,ANLYZR,reflux_pump_degradation,range err,SPAN,CAL,N,4.5,3125.32,"LT-502 range err again, prod upset","night called for LT-502 column bottom level tx, disch press low seen during reflux pump degradation. Foud range err; span shifted. cleaned and put back online. unit stable now. notif made by ops, maint attended same shift."
10450538,40870538,2023-07-25,2023-07-26,2023-07-26,U400-DEETHANIZER-500,P-501A,reflux pump A,pump,P3,TECO,INST,reflux_pump_degradation,seal leak,MECH_SEAL,SEAL,N,10.9,14355.01,"P-501A min flow hot, seal leak","night called for P-501A reflux pump A, min flow hot seen during reflux pump degradation. Foud seal leak; seal face worn / dry run signs. reset trip and monitored for 2 hrs. unit stable now. notif made by ops, maint attended same shift."
10450539,40870539,2023-07-28,2023-07-28,2023-07-29,U400-DEETHANIZER-500,PSV-501A,column relief valve A,relief,P4,CLSD,OPS+MECH,normal_wear,car seal broken,CSO,HUMAN,N,9.8,3771.19,"PSV-501A bad reading, car seal broken","B shift called for PSV-501A column relief valve A, plugged impulse seen during normal wear. Foud car seal broken; seal missing foud. calibrated, loop checked with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450540,40870540,2023-07-29,2023-07-29,2023-08-01,U400-DEETHANIZER-500,PT-501,column overhead pressure tx,instrument,P3,TECO,INST,pressure_control_fault,impulse plugged,PLUG,PROCESS,N,10.0,2526.49,"PT-501 flare valve chekd, impulse plugged","B shift called for PT-501 column overhead pressure tx, press spike seen during pressure control fault. Foud impulse plugged; tap/line dirty. reset trip and monitored for 2 hrs. ops says ok for now. notif made by ops, maint attended same shift."
10450541,40870541,2023-08-02,2023-08-02,2023-08-03,U400-DEETHANIZER-500,T-501,deethanizer column,column,P3,CLSD,ROT,feed_composition_shift,weeping flange,LEAK,GASKET,N,5.2,986.9,T-501 not ok after feed composition shift,"night called for T-501 deethanizer column, anlyzr off seen during feed composition shift. Foud weeping flange; manway/flange seep. Could not get permit first time waiting area gas test. calibrated, loop checked with CCR. no leak at handover. notif made by ops, maint attended same shift."
10450542,40870542,2023-08-01,2023-08-01,2023-08-01,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P3,CLSD,VALVE,reboiler_duty_loss,air leak,AIR_LEAK,TUBING,N,8.0,2640.69,chk FV-502 - air leak frm ops,"B shift called for FV-502 reflux flow ctrl valve, tray temp low seen during reboiler duty loss. Foud air leak; positioner supply drop. flushed impulse/sample line. no leak at handover. notif made by ops, maint attended same shift."
10450543,40870543,2023-08-01,2023-08-02,2023-08-02,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P3,CLSD,MECH,condenser_fouling,tv no travel,VALVE,STICK,N,8.4,1569.06,chk E-502 - tv no travel frm ops,"A shift called for E-502 deethanizer overhead condenser, pic wide open seen during condenser fouling. Foud tv no travel; cooling valve stuck. tightened fittings, leak test ok. need watch next feed swing. notif made by ops, maint attended same shift."
10450544,40870544,2023-08-02,2023-08-03,2023-08-06,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P3,TECO,ROT,reflux_pump_degradation,vib high,VIB,ALIGN,N,7.2,13247.14,P-501B not ok after reflux pump degradation,"days called for P-501B reflux pump B, seal weep seen during reflux pump degradation. Foud vib high; coupling align or cavitation. changed gasket and boxed up. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450545,40870545,2023-08-07,2023-08-07,2023-08-07,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P2,TECO,ANLYZR,valve_stiction,stiction,STICK,PACKING,N,12.4,2522.29,"FV-502 air leak, stiction","days called for FV-502 reflux flow control valve, op jumps seen during valve stiction. Foud stiction; stem sticky and pos err. stroke tested, response better. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450546,40870546,2023-08-07,2023-08-07,2023-08-08,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P1,CLSD,OPS+INST,feed_temperature_ramp,hunting loop,CTRL_OSC,TUNE,N,1.6,1467.76,FV-502 not ok after feed temperature ramp,"days called for FV-502 reflux flow ctrl valve, tray temp drift seen during feed temperature ramp. Foud hunting loop; bad response after upset. Tag plate dirty, confirmd by line up with panel. stroke tested, response better. readng close to dcs after job. notif made by ops, maint attended same shift."
10450547,40870547,2023-08-07,2023-08-09,2023-08-12,U400-DEETHANIZER-500,DPT-501,column diff pressure tx,instrument,P1,COMP,E&I,feed_temperature_ramp,range err,SPAN,CAL,Y,21.5,5492.82,chk DPT-501 - range err frm ops,"night called for DPT-501 column diff pressure tx, rb duty up seen during feed temperature ramp. Foud range err; span shifted. cleaned and put back online. unit stable now. notif made by ops, maint attended same shift."
10450548,40870548,2023-08-11,2023-08-12,2023-08-13,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P2,COMP,OPS+MECH,feed_flow_step,gasket weep,LEAK,GASKET,Y,7.7,248.95,chk E-503 - gasket weep frm ops,"A shift called for E-503 feed bottoms exchanger, fic hunting seen during feed flow step. Foud gasket weep; flange sweating. History shows same complain last mnth. flushed impulse/sample line. unit stable now. notif made by ops, maint attended same shift."
10450549,40870549,2023-08-10,2023-08-12,2023-08-13,U400-DEETHANIZER-500,TT-503,reboiler outlet temperature tx,instrument,P3,CLSD,E&I,normal_wear,range err,SPAN,CAL,N,10.7,3608.14,"TT-503 range err again, prod upset","A shift called for TT-503 reboiler outlet temp tx, pm found defect seen during normal wear. Foud range err; span shifted. Line was hot so job done slow and with ops standing by. flushed impulse/sample line. no leak at handover. notif made by ops, maint attended same shift."
10450550,40870550,2023-08-15,2023-08-16,2023-08-19,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P3,COMP,MECH,valve_stiction,cw fouling,FOULING,UTILITY,N,4.6,2316.27,E-502 cw fouling asap,"night called for E-502 deethanizer overhead condenser, op jumps seen during vavle stiction. Foud cw fouling; cw side scaled. History shows same complain last mnth. calibrated, loop checked with CCR. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450551,40870551,2023-08-16,2023-08-17,2023-08-18,U400-DEETHANIZER-500,V-501,deethanizer reflux drum,vessel,P3,CLSD,OPS+MECH,feed_composition_shift,level swing,LVL_SWING,CTRL,N,12.3,977.71,chk V-501 - level swing frm ops,"A shift called for V-501 deethanizer reflux drum, anlyzr off seen during feed composition shift. Foud level swing; lt/lic problem. History shows same complain last mnth. stroke tested, response better. readng close to dcs after job. notif made by ops, maint attended same shift."
10450552,40870552,2023-08-15,2023-08-15,2023-08-16,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P3,TECO,VALVE,reflux_pump_degradation,stiction,STICK,PACKING,N,12.5,2792.38,"FV-502 stiction again, prod upset","days called for FV-502 reflux flow control valve, min flow hot seen during reflux pump degradation. Foud stiction; stem sticky and pos err. Tag plate dirty, confirmd by line up with panel. calibrated, loop chekd with CCR. readng close to dcs after job. notif made by ops, maint attended same shift."
10450553,40870553,2023-08-15,2023-08-16,2023-08-17,U400-DEETHANIZER-500,PT-501,column overhead pressure tx,instrument,P3,CLSD,INST,valve_stiction,loose wire,SIGNAL,ELEC,N,11.4,947.59,"PT-501 valve sticking, loose wire","night called for PT-501 column overhead pressure tx, air leak seen during valve stiction. Foud loose wire; term loose. replaced positioner tubing and retuned small. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450554,40870554,2023-08-20,2023-08-20,2023-08-21,U400-DEETHANIZER-500,V-501,deethanizer reflux drum,vessel,P3,TECO,E&I,valve_stiction,level swing,LVL_SWING,CTRL,N,4.0,5589.68,V-501 not ok after valve stiction,"B shift called for V-501 deethanizer reflux drum, valve sticking seen during valve stiction. Foud level swing; lt/lic problem. Could not get permit first time waiting area gas test. changed gasket and boxed up. ops says ok for now. notif made by ops, maint attended same shift."
10450555,40870555,2023-08-20,2023-08-21,2023-08-22,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P3,COMP,OPS+MECH,condenser_fouling,low disch press,HYD_LOSS,FOUL,N,3.1,14111.68,P-501B not ok after condnsr fouling,"A shift called for P-501B reflux pump B, drum temp hi seen during condenser fouling. Foud low disch press; strainer dirty or impeller wear. tightened fittings, leak test ok. unit stable now. notif made by ops, maint attended same shift."
10450556,40870556,2023-08-23,2023-08-23,2023-08-28,U400-DEETHANIZER-500,LV-502,bottoms level valve,control_valve,P2,CLSD,MECH,valve_stiction,stiction,STICK,PACKING,N,9.2,4103.9,LV-502 not ok after valve stiction,"B shift called for LV-502 bottoms level valve, air leak seen during valve stiction. Foud stiction; stem sticky and pos err. History shows same complain last mnth. swapped to standby and repaired. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450557,40870557,2023-08-24,2023-08-24,2023-08-24,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P2,COMP,ROT,feed_composition_shift,gasket weep,LEAK,GASKET,Y,23.5,6832.54,E-503 not ok after feed composition shift,"night called for E-503 feed bottoms exchanger, ovhd c3 slip seen during feed composition shift. Foud gasket weep; flange sweating. stroke tested, response better. need watch next feed swing. notif made by ops, maint attended same shift."
10450558,40870558,2023-08-23,2023-08-23,2023-08-24,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,CLSD,E&I,condenser_fouling,passing,LEAK_BY,SEAT,N,9.7,3559.04,"TV-502 passing again, prod upset","night called for TV-502 condenser cooling valve, pic wide open seen during condenser fouling. Foud passing; seat leak by. cleaned and put back online. no leak at handover. notif made by ops, maint attended same shift."
10450559,40870559,2023-08-27,2023-08-27,2023-08-29,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,TECO,INST,condenser_fouling,passing,LEAK_BY,SEAT,N,5.7,1555.08,TV-502 not ok after condenser fouling,"B shift called for TV-502 condenser cooling vavle, high ovhd press seen during condenser fouling. Foud passing; seat leak by. replaced positioner tubing and retuned small. no leak at handover. notif made by ops, maint attended same shift."
10450560,40870560,2023-08-31,2023-08-31,2023-09-01,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P1,TECO,INST,condenser_fouling,passing,LEAK_BY,SEAT,N,17.6,2642.5,TV-502 not ok after condenser fouling,"A shift called for TV-502 condenser cooling valve, high ovhd press seen during condenser fouling. Foud passing; seat leak by. No spare in store at first, used refurb one from shop. opened strainer, cleaned black sludge. ops says ok for now. notif made by ops, maint attended same shift."
10450561,40870561,2023-08-27,2023-08-29,2023-09-01,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P3,CLSD,E&I,condenser_fouling,tube leak sus,LEAK,TUBE,N,14.5,946.96,"E-502 tube leak sus again, prod upset","C shift called for E-502 deethanizer overhead condnsr, drum temp hi seen during condnsr fouling. Foud tube leak sus; hydrotest reqd. History shows same complain last mnth. tightened fittings, leak test ok. unit stable now. notif made by ops, maint attended same shift."
10450562,40870562,2023-09-01,2023-09-02,2023-09-05,U400-DEETHANIZER-500,T-501,deethanizer column,column,P3,CLSD,INST,pressure_control_fault,tray temp bad,TEMP_DEV,PROCESS,N,3.5,4814.53,"T-501 pic unstable, tray temp bad","B shift called for T-501 deethanizer column, pv not movng seen during press ctrl fault. Foud tray temp bad; profile not normal. opened strainer, cleaned black sludge. need watch next feed swing. notif made by ops, maint attended same shift."
10450563,40870563,2023-08-30,2023-08-31,2023-09-02,U400-DEETHANIZER-500,P-501A,reflux pump A,pump,P2,COMP,MECH,reflux_pump_degradation,bearing hot,BRG,WEAR,N,10.4,5927.27,chk P-501A - bearing hot frm ops,"B shift called for P-501A reflux pump A, pump vib seen during reflux pump degradation. Foud bearing hot; brg rough, lube dark. changed gasket and boxed up. readng close to dcs after job. notif made by ops, maint attended same shift."
10450564,40870564,2023-09-02,2023-09-02,2023-09-02,U400-DEETHANIZER-500,T-501,deethanizer column,column,P2,COMP,ANLYZR,condenser_fouling,level unstable,LVL_SWING,CTRL,N,3.9,101.78,"T-501 level unstable again, prod upset","A shift called for T-501 deethanizer column, high ovhd press seen during condenser fouling. Foud level unstable; sump level swing. opened strainer, cleaned black sludge. need watch next feed swing. notif made by ops, maint attended same shift."
10450565,40870565,2023-09-05,2023-09-05,2023-09-19,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P4,CLSD,ROT,feed_temperature_ramp,circ poor,NO_FLOW,PLUG,N,4.0,118.41,E-501 circ poor temp fix,"B shift called for E-501 deethanizer reboiler, tray temp drift seen during feed temp ramp. Foud circ poor; blocked inlet screen. reset trip and monitored for 2 hrs. readng close to dcs after job. notif made by ops, maint attended same shift."
10450566,40870566,2023-09-06,2023-09-08,2023-09-15,U400-DEETHANIZER-500,P-501A,reflux pump A,pump,P3,CLSD,ANLYZR,condenser_fouling,motor trip,MOTOR,ELEC,N,12.5,13971.8,"P-501A cond not pullng, motor trip","days called for P-501A reflux pump A, high ovhd press seen during condenser fouling. Foud motor trip; overload trip after upset. calibrated, loop checked with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450567,40870567,2023-09-08,2023-09-08,2023-09-11,U400-DEETHANIZER-500,FV-501,feed flow control valve,control_valve,P4,COMP,VALVE,feed_flow_step,not stroking,NO_TRAVEL,ACT,N,10.3,3930.57,FV-501 not ok after feed flow step,"night called for FV-501 feed flow control valve, lvl swing seen during feed flow step. Foud not stroking; actuator weak. flushed impulse/sample line. readng close to dcs after job. notif made by ops, maint attended same shift."
10450568,40870568,2023-09-09,2023-09-09,2023-09-11,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P1,COMP,ROT,condenser_fouling,not stroking,NO_TRAVEL,ACT,N,10.0,4310.78,chk TV-502 - not stroking frm ops,"B shift called for TV-502 condenser cooling valve, pic wide open seen during condenser fouling. Foud not stroking; actuator weak. calibrated, loop checked with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450569,40870569,2023-09-10,2023-09-10,2023-09-15,U400-DEETHANIZER-500,V-501,deethanizer reflux drum,vessel,P2,TECO,ANLYZR,reboiler_duty_loss,level swing,LVL_SWING,CTRL,N,17.1,872.56,"V-501 low heat, level swing","night called for V-501 deethanizer reflux drum, steam/hm valve no resp seen during rebiler duty loss. Foud level swing; lt/lic problem. changed gasket and boxed up. ops says ok for now. notif made by ops, maint attended same shift."
10450570,40870570,2023-09-10,2023-09-10,2023-09-24,U400-DEETHANIZER-500,FT-502,reflux flow transmitter,instrument,P3,TECO,INST,reflux_pump_degradation,no signal,NO_SIGNAL,ELEC,N,12.3,3044.74,chk FT-502 - no signal frm ops,"A shift called for FT-502 reflux flow transmitter, pump vib seen during reflux pump degradation. Foud no signal; 24v or card issue. tightened fittings, leak test ok. need watch next feed swing. notif made by ops, maint attended same shift."
10450571,40870571,2023-09-13,2023-09-14,2023-09-15,U400-DEETHANIZER-500,FT-502,reflux flow transmitter,instrument,P3,CLSD,OPS+INST,reflux_pump_degradation,no signal,NO_SIGNAL,ELEC,N,16.9,1377.97,FT-502 not ok after reflux pump degradation,"C shift called for FT-502 reflux flow tx, disch press low seen during reflux pump degradation. Foud no signal; 24v or card issue. stroke tested, response better. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450572,40870572,2023-09-15,2023-09-17,2023-09-19,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P3,COMP,OPS+MECH,condenser_fouling,cw fouling,FOULING,UTILITY,N,10.3,17039.17,E-502 cw fouling after upset,"days called for E-502 deethanizer overhead condenser, high ovhd press seen during condenser fouling. Foud cw fouling; cw side scaled. History shows same complain last mnth. stroke tested, response better. unit stable now. notif made by ops, maint attended same shift."
10450573,40870573,2023-09-15,2023-09-15,2023-09-18,U400-DEETHANIZER-500,LV-501,reflux drum level valve,control_valve,P3,COMP,INST,valve_stiction,stiction,STICK,PACKING,N,6.9,5705.11,chk LV-501 - stiction frm ops,"B shift called for LV-501 reflux drum level valve, op jumps seen during valve stiction. Foud stiction; stem sticky and pos err. Tag plate dirty, confirmd by line up with panel. changed gasket and boxed up. readng close to dcs after job. notif made by ops, maint attended same shift."
10450574,40870574,2023-09-15,2023-09-15,2023-09-20,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P2,TECO,VALVE,valve_stiction,passing,LEAK_BY,SEAT,N,7.9,315.68,"PV-501 vavle sticking, passing","C shift called for PV-501 column pressure control valve, op jumps seen during valve stiction. Foud passing; seat leak by. tightened fittings, leak test ok. no leak at handover. notif made by ops, maint attended same shift."
10450575,40870575,2023-09-18,2023-09-19,2023-09-20,U400-DEETHANIZER-500,PT-501,column overhead pressure tx,instrument,P2,TECO,INST,condenser_fouling,bad reading,DRIFT,CAL,N,16.5,2941.18,PT-501 bad reading after upset,"C shift called for PT-501 column overhead pressure tx, cond not pullng seen during condenser fouling. Foud bad reading; needs calib. changed gasket and boxed up. need watch next feed swing. notif made by ops, maint attended same shift."
10450576,40870576,2023-09-23,2023-09-23,2023-09-23,U400-DEETHANIZER-500,AIT-501,overhead C2 analyzer,analyzer,P2,TECO,OPS+INST,feed_composition_shift,condensate in sample,LIQ_CARRY,SAMPLE,N,4.7,4597.0,"AIT-501 condensate in sample again, prod upset","B shift called for AIT-501 overhead C2 analyzer, ovhd c3 slip seen during feed composition shift. Foud condensate in sample; knockout pot full. History shows same complain last mnth. reset trip and monitored for 2 hrs. need watch next feed swing. notif made by ops, maint attended same shift."
10450577,40870577,2023-09-22,2023-09-23,2023-09-30,U400-DEETHANIZER-500,T-501,deethanizer column,column,P3,CLSD,OPS+MECH,feed_flow_step,weeping flange,LEAK,GASKET,N,15.6,5756.56,"T-501 feed jump, weeping flange","A shift called for T-501 deethanizer column, fic hunting seen during feed flow step. Foud weeping flange; manway/flange seep. Tag plate dirty, confirmd by line up with panel. replaced positioner tubing and retuned small. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450578,40870578,2023-09-22,2023-09-22,2023-09-23,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,COMP,ROT,condenser_fouling,air leak,AIR_LEAK,TUBING,N,7.9,1551.14,"TV-502 air leak again, prod upset","A shift called for TV-502 condenser cooling valve, cw dt low seen during condenser fouling. Foud air leak; positioner supply drop. flushed impulse/sample line. ops says ok for now. notif made by ops, maint attended same shift."
10450579,40870579,2023-09-23,2023-09-23,2023-09-25,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P2,COMP,E&I,feed_temperature_ramp,high press,PERF,FOUL,Y,13.3,16552.19,"E-502 ovhd press moving, high press","B shift called for E-502 deethanizer overhead condenser, rb duty up seen during feed temperature ramp. Foud high press; condensing duty poor. reset trip and monitored for 2 hrs. readng close to dcs after job. notif made by ops, maint attended same shift."
10450580,40870580,2023-09-25,2023-09-25,2023-09-25,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P3,COMP,ROT,reflux_pump_degradation,hunting loop,CTRL_OSC,TUNE,N,4.8,6383.88,FV-502 not ok after rflx pump degradation,"days called for FV-502 reflux flow control valve, pump vib seen during reflux pump degradation. Foud hunting loop; bad response after upset. calibrated, loop checked with CCR. need watch next feed swing. notif made by ops, maint attended same shift."
10450581,40870581,2023-09-30,2023-09-30,2023-10-02,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P1,COMP,OPS+MECH,valve_stiction,stiction,STICK,PACKING,N,7.2,482.98,TV-502 stiction temp fix,"B shift called for TV-502 condnsr cooling vavle, air leak seen during vavle stiction. Foud stiction; stem sticky and pos err. Could not get permit first time waiting area gas test. replaced positioner tubing and retuned small. readng close to dcs after job. notif made by ops, maint attended same shift."
10450582,40870582,2023-10-01,2023-10-03,2023-10-05,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P2,TECO,ANLYZR,condenser_fouling,hunting loop,CTRL_OSC,TUNE,N,6.0,5019.2,chk TV-502 - hunting loop frm ops,"C shift called for TV-502 condnsr cooling valve, cond not pullng seen during condnsr fouling. Foud hunting loop; bad response after upset. replaced positioner tubing and retuned small. ops says ok for now. notif made by ops, maint attended same shift."
10450583,40870583,2023-09-30,2023-09-30,2023-10-02,U400-DEETHANIZER-500,PSV-501B,column relief valve B,relief,P3,CLSD,MECH,pressure_control_fault,due to lift chk,LIFT_EVENT,PROCESS,N,7.0,1608.23,"PSV-501B pshh close call, due to lift chk","A shift called for PSV-501B column relief valve B, flare valve checked seen during pressure control fault. Foud due to lift chk; after pressure excursion. No spare in store at first, used refurb one from shop. opened strainer, cleaned black sludge. no leak at handover. notif made by ops, maint attended same shift."
10450584,40870584,2023-10-04,2023-10-05,2023-10-07,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P3,COMP,ROT,feed_flow_step,tube fouling,FOULING,PROCESS,N,11.3,1155.85,"E-503 lvl swing, tube fouling","days called for E-503 feed bottoms exchanger, column dp high seen during feed flow step. Foud tube fouling; duty low, delta t poor. tightened fittings, leak test ok. readng close to dcs after job. notif made by ops, maint attended same shift."
10450585,40870585,2023-10-05,2023-10-05,2023-10-06,U400-DEETHANIZER-500,V-501,deethanizer reflux drum,vessel,P3,TECO,OPS+INST,reboiler_duty_loss,boot drain leak,LEAK,VALVE,N,6.3,1297.88,V-501 not ok after reboiler duty loss,"night called for V-501 deethanizer reflux drum, tray temp low seen during reboiler duty loss. Foud boot drain leak; closed drain valve passing. Tag plate dirty, confirmd by line up with panel. flushed impulse/sample line. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450586,40870586,2023-10-08,2023-10-10,2023-10-12,U400-DEETHANIZER-500,AIT-501,overhead C2 analyzer,analyzer,P1,COMP,INST,feed_composition_shift,bad gc cycle,NO_ANALYSIS,ELEC,N,9.3,1557.86,"AIT-501 bad gc cycle again, prod upset","C shift called for AIT-501 overhead C2 analyzer, ovhd c3 slip seen during feed composition shift. Foud bad gc cycle; cycle abort. History shows same complain last mnth. stroke tested, response better. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450587,40870587,2023-10-06,2023-10-07,2023-10-09,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P3,COMP,OPS+INST,feed_composition_shift,bearing hot,BRG,WEAR,N,11.6,14468.77,"P-501B bearing hot again, prod upset","A shift called for P-501B rflx pump B, quality bad seen during feed composition shift. Foud bearing hot; brg rough, lube dark. History shows same complain last mnth. stroke tested, response better. no leak at handover. notif made by ops, maint attended same shift."
10450588,40870588,2023-10-07,2023-10-09,2023-10-09,U400-DEETHANIZER-500,TT-503,reboiler outlet temperature tx,instrument,P3,COMP,ANLYZR,reboiler_duty_loss,loose wire,SIGNAL,ELEC,N,6.9,2546.8,TT-503 not ok after reboiler duty loss,"night called for TT-503 reboiler outlet temp tx, tray temp low seen during reboiler duty loss. Foud loose wire; term loose. History shows same complain last mnth. tightened fittings, leak test ok. unit stable now. notif made by ops, maint attended same shift."
10450589,40870589,2023-10-09,2023-10-09,2023-10-11,U400-DEETHANIZER-500,FT-501,feed flow transmitter,instrument,P3,CLSD,OPS+INST,feed_flow_step,bad reading,DRIFT,CAL,N,3.5,4485.1,FT-501 not ok after feed flow step,"B shift called for FT-501 feed flow transmitter, column dp high seen during feed flow step. Foud bad reading; needs calib. Line was hot so job done slow and with ops standing by. tightened fittings, leak test ok. readng close to dcs after job. notif made by ops, maint attended same shift."
10450590,40870590,2023-10-13,2023-10-15,2023-10-15,U400-DEETHANIZER-500,TT-503,reboiler outlet temperature tx,instrument,P4,CLSD,OPS+INST,reboiler_duty_loss,loose wire,SIGNAL,ELEC,N,2.5,3259.43,chk TT-503 - loose wire frm ops,"days called for TT-503 rebiler outlet temperature tx, c2 in btm seen during rebiler duty loss. Foud loose wire; term loose. opened strainer, cleaned black sludge. no leak at handover. notif made by ops, maint attended same shift."
10450591,40870591,2023-10-12,2023-10-14,2023-10-16,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P3,CLSD,OPS+INST,reboiler_duty_loss,no signal,NO_SIGNAL,ELEC,N,2.1,6482.99,TT-501B no signal bad,"B shift called for TT-501B sensitive tray temperature tx, c2 in btm seen during reboiler duty loss. Foud no signal; 24v or card issue. Tag plate dirty, confirmd by line up with panel. tightened fittings, leak test ok. no leak at handover. notif made by ops, maint attended same shift."
10450592,40870592,2023-10-14,2023-10-14,2023-10-15,U400-DEETHANIZER-500,FT-501,feed flow transmitter,instrument,P4,CLSD,OPS+INST,feed_flow_step,impulse plugged,PLUG,PROCESS,N,7.8,1906.2,FT-501 not ok after feed flow step,"B shift called for FT-501 feed flow transmitter, colmn dp high seen during feed flow step. Foud impulse plugged; tap/line dirty. Tag plate dirty, confirmd by line up with panel. changed gasket and boxed up. ops says ok for now. notif made by ops, maint attended same shift."
